huy	h u y
tương	t ư ơ n g
chăng	c h ă n g
nho	n h o
gồm	g ồ m
xông	x ô n g
kháng	k h á n g
ôtô	ô t ô
chở	c h ở
trú	t r ú
gio	g i o
huyện	h u y ệ n
can	c a n
ma	m a
túy	t ú y
xưởng	x ư ở n g
chụp	c h ụ p
khánh	k h á n h
giấu	g i ấ u
vun	v u n
má	m á
ửng	ử n g
hổ	h ổ
rối	r ố i
ruột	r u ộ t
bơm	b ơ m
giếng	g i ế n g
khoan	k h o a n
thiểu	t h i ể u
mệnh	m ệ n h
vướng	v ư ớ n g
asean	a s e a n
lược	l ư ợ c
vận	v ậ n
tróc	t r ó c
kín	k í n
cứng	c ứ n g
nhắc	n h ắ c
dù	d ù
âm	â m
chững	c h ữ n g
nỗ	n ỗ
phồn	p h ồ n
vinh	v i n h
triển	t r i ể n
đùa	đ ù a
trớn	t r ớ n
cưng	c ư n g
rơi	r ơ i
dở	d ở
khóc	k h ó c
thước	t h ư ớ c
to	t o
vươn	v ư ơ n
thủy	t h ủ y
mau	m a u
ghé	g h é
đón	đ ó n
mổ	m ổ
lư	l ư
ủy	ủ y
yên	y ê n
mùa	m ù a
nực	n ự c
dép	d é p
ninh	n i n h
nập	n ậ p
lỏng	l ỏ n g
măng	m ă n g
đá	đ á
riêng	r i ê n g
buýt	b u ý t
ngưng	n g ư n g
tờ	t ờ
khiêu	k h i ê u
say	s a y
trụi	t r ụ i
chứa	c h ứ a
bồi	b ồ i
khang	k h a n g
vắng	v ắ n g
nôn	n ô n
ói	ó i
gầy	g ầ y
còm	c ò m
nghe	n g h e
khò	k h ò
khè	k h è
tái	t á i
ích	í c h
gân	g â n
chằng	c h ằ n g
diệp	d i ệ p
nhập	n h ậ p
nuối	n u ố i
ngoái	n g o á i
nhũng	n h ũ n g
chườm	c h ư ờ m
rên	r ê n
khẳng	k h ẳ n g
ngồi	n g ồ i
sảnh	s ả n h
khoảng	k h o ả n g
sân	s â n
nới	n ớ i
thấu	t h ấ u
xăm	x ă m
nề	n ề
cờ	c ờ
bãi	b ã i
bọn	b ọ n
tuyền	t u y ề n
lâm	l â m
cẩn	c ẩ n
thận	t h ậ n
sầm	s ầ m
uất	u ấ t
ngành	n g à n h
nghề	n g h ề
buông	b u ô n g
chiểu	c h i ể u
cậu	c ậ u
ồn	ồ n
oxy	o x y
bọc	b ọ c
chài	c h à i
ẩm	ẩ m
lớp	l ớ p
tươi	t ư ơ i
dẫu	d ẫ u
sẻ	s ẻ
dính	d í n h
liền	l i ề n
đức	đ ứ c
tháo	t h á o
bục	b ụ c
lò	l ò
giảng	g i ả n g
cẩm	c ẩ m
tùy	t ù y
búa	b ú a
tạ	t ạ
bung	b u n g
ập	ậ p
dối	d ố i
doạ	d o ạ
thoi	t h o i
thóp	t h ó p
ương	ư ơ n g
thơ	t h ơ
vóc	v ó c
hãi	h ã i
sầu	s ầ u
chín	c h í n
hái	h á i
ủ	ủ
héo	h é o
đành	đ à n h
hèn	h è n
ghê	g h ê
cằn	c ằ n
nhằn	n h ằ n
chửi	c h ử i
mắng	m ắ n g
khơi	k h ơ i
bám	b á m
tôm	t ô m
thí	t h í
nhào	n h à o
vón	v ó n
cục	c ụ c
khép	k h é p
lái	l á i
lùi	l ù i
xoay	x o a y
tốc	t ố c
bữa	b ữ a
đợi	đ ợ i
nạ	n ạ
gan	g a n
bánh	b á n h
khổng	k h ổ n g
lồ	l ồ
kem	k e m
sút	s ú t
gạt	g ạ t
ái	á i
tre	t r e
hang	h a n g
sừng	s ừ n g
cheo	c h e o
quăng	q u ă n g
lạch	l ạ c h
ổ	ổ
rêu	r ê u
tỉ	t ỉ
mỉ	m ỉ
ráp	r á p
se	s e
khít	k h í t
thuê	t h u ê
taxi	t a x i
tổng	t ổ n g
đốc	đ ố c
lùng	l ù n g
khái	k h á i
bạc	b ạ c
hắt	h ắ t
hủi	h ủ i
sững	s ữ n g
sờ	s ờ
thẻ	t h ẻ
lãi	l ã i
gợi	g ợ i
nhăn	n h ă n
nhượng	n h ư ợ n g
nở	n ở
hướng	h ư ớ n g
sỏi	s ỏ i
nhiệm	n h i ệ m
lén	l é n
đấy	đ ấ y
ga	g a
gối	g ố i
xu	x u
mạt	m ạ t
bụ	b ụ
bẫm	b ẫ m
vọt	v ọ t
gói	g ó i
diệu	d i ệ u
nhờ	n h ờ
tẻ	t ẻ
bời	b ờ i
lô	l ô
trộm	t r ộ m
nộp	n ộ p
phạt	p h ạ t
ngầm	n g ầ m
mập	m ậ p
lộng	l ộ n g
lấp	l ấ p
lánh	l á n h
ngàn	n g à n
nga	n g a
bão	b ã o
tụt	t ụ t
huỳnh	h u ỳ n h
điểu	đ i ể u
thuyên	t h u y ê n
thao	t h a o
loài	l o à i
lệ	l ệ
tiêm	t i ê m
nguồn	n g u ồ n
vựng	v ự n g
đạt	đ ạ t
vững	v ữ n g
ngữ	n g ữ
xạ	x ạ
giặt	g i ặ t
mẻ	m ẻ
vớt	v ớ t
nguội	n g u ộ i
xối	x ố i
men	m e n
đem	đ e m
nung	n u n g
tuần	t u ầ n
tuông	t u ô n g
ghét	g h é t
thụ	t h ụ
thỏa	t h ỏ a
mãn	m ã n
dạng	d ạ n g
tửu	t ử u
ướm	ư ớ m
triệu	t r i ệ u
chẩn	c h ẩ n
đoán	đ o á n
nứt	n ứ t
chịt	c h ị t
chít	c h í t
chữ	c h ữ
cấy	c ấ y
ghép	g h é p
ẩn	ẩ n
băn	b ă n
khoăn	k h o ă n
cận	c ậ n
kề	k ề
đương	đ ư ơ n g
nạp	n ạ p
chan	c h a n
dường	d ư ờ n g
nổ	n ổ
hy	h y
ngươi	n g ư ơ i
rốt	r ố t
múa	m ú a
già	g i à
tát	t á t
ngà	n g à
cống	c ố n g
xả	x ả
xếp	x ế p
lốt	l ố t
bến	b ế n
săn	s ă n
đà	đ à
nẵng	n ẵ n g
hước	h ư ớ c
phán	p h á n
phấn	p h ấ n
viền	v i ề n
chọc	c h ọ c
húp	h ú p
sụt	s ụ t
kì	k ì
mọc	m ọ c
hát	h á t
ném	n é m
chai	c h a i
kẹp	k ẹ p
sấy	s ấ y
gánh	g á n h
đè	đ è
giày	g i à y
cước	c ư ớ c
trách	t r á c h
cành	c à n h
thuyết	t h u y ế t
ấp	ấ p
ôi	ô i
nhầm	n h ầ m
bấm	b ấ m
nút	n ú t
thiệt	t h i ệ t
bướng	b ư ớ n g
hí	h í
ầm	ầ m
ĩ	ĩ
ghi	g h i
rào	r à o
thánh	t h á n h
đoạt	đ o ạ t
trinh	t r i n h
muộn	m u ộ n
lồng	l ồ n g
lột	l ộ t
lai	l a i
nhảm	n h ả m
nhưỡng	n h ư ỡ n g
khoe	k h o e
luồn	l u ồ n
hổi	h ổ i
gắng	g ắ n g
biên	b i ê n
dựa	d ự a
dãy	d ã y
muối	m u ố i
chinh	c h i n h
cựu	c ự u
hàn	h à n
hầm	h ầ m
thoáng	t h o á n g
đỗ	đ ỗ
mơ	m ơ
mộng	m ộ n g
đạp	đ ạ p
ngáp	n g á p
lác	l á c
đác	đ á c
ngửa	n g ử a
liệt	l i ệ t
tuân	t u â n
thợ	t h ợ
thuyền	t h u y ề n
nhiêu	n h i ê u
thắc	t h ắ c
thự	t h ự
ngọ	n g ọ
trồng	t r ồ n g
cổng	c ổ n g
thép	t h é p
chạm	c h ạ m
trổ	t r ổ
nhậu	n h ậ u
cược	c ư ợ c
mời	m ờ i
phen	p h e n
khổ	k h ổ
nhược	n h ư ợ c
nan	n a n
mí	m í
nếp	n ế p
hi	h i
trọ	t r ọ
ngạc	n g ạ c
giai	g i a i
chăn	c h ă n
xệ	x ệ
xí	x í
dắt	d ắ t
khung	k h u n g
cất	c ấ t
chao	c h a o
chục	c h ụ c
thậm	t h ậ m
vời	v ờ i
màn	m à n
kịt	k ị t
lũi	l ũ i
lói	l ó i
bới	b ớ i
đập	đ ậ p
soi	s o i
quặng	q u ặ n g
đính	đ í n h
xóm	x ó m
dặn	d ặ n
vĩnh	v ĩ n h
tràng	t r à n g
lắng	l ắ n g
rạn	r ạ n
tải	t ả i
dần	d ầ n
van	v a n
ráo	r á o
gắn	g ắ n
thác	t h á c
rạch	r ạ c h
rốn	r ố n
chào	c h à o
mẩu	m ẩ u
lụa	l ụ a
thua	t h u a
chỉnh	c h ỉ n h
băng	b ă n g
tân	t â n
trừ	t r ừ
lan	l a n
hường	h ư ờ n g
trăng	t r ă n g
dời	d ờ i
châm	c h â m
họa	h ọ a
truyện	t r u y ệ n
cắm	c ắ m
khủng	k h ủ n g
khiếp	k h i ế p
mọt	m ọ t
trầy	t r ầ y
xước	x ư ớ c
suôn	s u ô n
tủy	t ủ y
lanh	l a n h
đốt	đ ố t
đẻ	đ ẻ
nhút	n h ú t
xoa	x o a
vỗ	v ỗ
khắp	k h ắ p
tuyến	t u y ế n
thuần	t h u ầ n
củ	c ủ
tỉa	t ỉ a
dẹp	d ẹ p
tim	t i m
bỉnh	b ỉ n h
sụn	s ụ n
tồn	t ồ n
lụy	l ụ y
luân	l u â n
thôn	t h ô n
hoành	h o à n h
xăng	x ă n g
chật	c h ậ t
sol	s o l
huấn	h u ấ n
mỡ	m ỡ
nịt	n ị t
đọng	đ ọ n g
lặng	l ặ n g
ủi	ủ i
hàm	h à m
cắn	c ắ n
nhem	n h e m
nhuốc	n h u ố c
phường	p h ư ờ n g
cử	c ử
trật	t r ậ t
bồng	b ồ n g
bềnh	b ề n h
ren	r e n
cóc	c ó c
êm	ê m
xưa	x ư a
thả	t h ả
thầy	t h ầ y
bậc	b ậ c
hưng	h ư n g
trại	t r ạ i
nhắn	n h ắ n
thò	t h ò
vẫy	v ẫ y
xung	x u n g
gióng	g i ó n g
mèo	m è o
chủng	c h ủ n g
soát	s o á t
đốm	đ ố m
tím	t í m
dư	d ư
thô	t h ô
quyên	q u y ê n
tà	t à
rực	r ự c
rỡ	r ỡ
khởi	k h ở i
my	m y
khinh	k h i n h
phức	p h ứ c
thưởng	t h ư ở n g
chui	c h u i
né	n é
mâm	m â m
ghế	g h ế
móng	m ó n g
đậm	đ ậ m
khoái	k h o á i
sún	s ú n
nhai	n h a i
chậm	c h ậ m
sảo	s ả o
cong	c o n g
đãng	đ ã n g
hủ	h ủ
riềng	r i ề n g
tỏi	t ỏ i
giã	g i ã
nhuyễn	n h u y ễ n
trộn	t r ộ n
heo	h e o
nêm	n ê m
quét	q u é t
quên	q u ê n
hlv	h l v
tỳ	t ỳ
tổn	t ổ n
tạng	t ạ n g
mút	m ú t
đệm	đ ệ m
cháy	c h á y
chảnh	c h ả n h
ngào	n g à o
xích	x í c h
mượn	m ư ợ n
gỡ	g ỡ
phiên	p h i ê n
kịch	k ị c h
hoãn	h o ã n
lạm	l ạ m
hòn	h ò n
khéo	k h é o
đạc	đ ạ c
khẩu	k h ẩ u
nấu	n ấ u
dằn	d ằ n
nhí	n h í
nhảnh	n h ả n h
gấp	g ấ p
bù	b ù
tuấn	t u ấ n
thản	t h ả n
quang	q u a n g
lốp	l ố p
dạy	d ạ y
cội	c ộ i
li	l i
phơi	p h ơ i
sạt	s ạ t
lở	l ở
soạn	s o ạ n
cuống	c u ố n g
hối	h ố i
hả	h ả
ruồi	r u ồ i
tả	t ả
kiết	k i ế t
lị	l ị
đậu	đ ậ u
hận	h ậ n
hiền	h i ề n
chuồng	c h u ồ n g
vượt	v ư ợ t
phóng	p h ó n g
bạt	b ạ t
lấn	l ấ n
vở	v ở
điển	đ i ể n
gáy	g á y
trẹo	t r ẹ o
quai	q u a i
nghẹn	n g h ẹ n
ngôn	n g ô n
lối	l ố i
quỳnh	q u ỳ n h
phó	p h ó
cúc	c ú c
quỳ	q u ỳ
sạm	s ạ m
ngừng	n g ừ n g
vai	v a i
bênh	b ê n h
thịnh	t h ị n h
kép	k é p
chiêm	c h i ê m
doãn	d o ã n
vảy	v ả y
xé	x é
toạc	t o ạ c
bỉm	b ỉ m
tấu	t ấ u
đo	đ o
trội	t r ộ i
đảng	đ ả n g
ngụy	n g ụ y
đồi	đ ồ i
trụy	t r ụ y
tần	t ầ n
ngần	n g ầ n
vuông	v u ô n g
kèm	k è m
đựng	đ ự n g
gìn	g ì n
điệp	đ i ệ p
mẫn	m ẫ n
nảy	n ả y
chước	c h ư ớ c
hôi	h ô i
xảo	x ả o
khử	k h ử
tiệt	t i ệ t
khuẩn	k h u ẩ n
trấn	t r ấ n
mạch	m ạ c h
khúc	k h ú c
chiết	c h i ế t
tẩy	t ẩ y
ớt	ớ t
siêu	s i ê u
quẩn	q u ẩ n
mây	m â y
sâm	s â m
hỏa	h ỏ a
cháu	c h á u
khuya	k h u y a
huỷ	h u ỷ
ngắt	n g ắ t
gài	g à i
nhấn	n h ấ n
xét	x é t
suy	s u y
thủng	t h ủ n g
lưỡng	l ư ỡ n g
rằm	r ằ m
mùng	m ù n g
tết	t ế t
tuỳ	t u ỳ
côn	c ô n
trạm	t r ạ m
thầm	t h ầ m
ơn	ơ n
vĩ	v ĩ
tủi	t ủ i
bấy	b ấ y
tanh	t a n h
bành	b à n h
mịch	m ị c h
chua	c h u a
gừng	g ừ n g
rồng	r ồ n g
suối	s u ố i
duyệt	d u y ệ t
toan	t o a n
phũ	p h ũ
phàng	p h à n g
gỏi	g ỏ i
dừa	d ừ a
giòn	g i ò n
đền	đ ề n
chen	c h e n
xỉ	x ỉ
rách	r á c h
mini	m i n i
album	a l b u m
tấm	t ấ m
đắc	đ ắ c
nhuận	n h u ậ n
mì	m ì
sệt	s ệ t
vo	v o
rỉ	r ỉ
thê	t h ê
kỵ	k ỵ
hao	h a o
tán	t á n
than	t h a n
mô	m ô
gập	g ậ p
chuỗi	c h u ỗ i
nhạy	n h ạ y
bén	b é n
vây	v â y
virus	v i r u s
trám	t r á m
xỉn	x ỉ n
kitô	k i t ô
cõi	c õ i
phách	p h á c h
miêu	m i ê u
mãnh	m ã n h
ôn	ô n
trận	t r ậ n
nón	n ó n
vành	v à n h
ngoạn	n g o ạ n
chạp	c h ạ p
nền	n ề n
cu	c u
đàm	đ à m
băm	b ă m
miền	m i ề n
xài	x à i
rễ	r ễ
vịt	v ị t
giỗ	g i ỗ
phiêu	p h i ê u
cởi	c ở i
à	à
kg	k g
giầy	g i ầ y
dẻo	d ẻ o
gãi	g ã i
nghiệt	n g h i ệ t
viễn	v i ễ n
nấm	n ấ m
bặm	b ặ m
sập	s ậ p
á	á
thon	t h o n
gạch	g ạ c h
ngổn	n g ổ n
phiền	p h i ề n
trích	t r í c h
ngọn	n g ọ n
táp	t á p
cỏ	c ỏ
dại	d ạ i
trèo	t r è o
mẹo	m ẹ o
xù	x ù
im	i m
nhựa	n h ự a
thoa	t h o a
son	s o n
vang	v a n g
lộn	l ộ n
g	g
thụy	t h ụ y
trân	t r â n
tít	t í t
thoả	t h o ả
sướng	s ư ớ n g
chìm	c h ì m
đắm	đ ắ m
phượng	p h ư ợ n g
nắp	n ắ p
mờ	m ờ
sương	s ư ơ n g
ã	ã
miên	m i ê n
ốm	ố m
tốn	t ố n
chứ	c h ứ
lọt	l ọ t
lợn	l ợ n
nghênh	n g h ê n h
trừng	t r ừ n g
rắn	r ắ n
ưa	ư a
chuộng	c h u ộ n g
i	i
ngu	n g u
dốt	d ố t
đần	đ ầ n
độn	đ ộ n
nghệch	n g h ệ c h
tủ	t ủ
mặn	m ặ n
nén	n é n
quẹo	q u ẹ o
rặng	r ặ n g
rượi	r ư ợ i
cọ	c ọ
mỏ	m ỏ
rác	r á c
vất	v ấ t
khoá	k h o á
sáu	s á u
nẻ	n ẻ
lán	l á n
khoắn	k h o ắ n
bân	b â n
vụng	v ụ n g
ào	à o
đói	đ ó i
lầu	l ầ u
oi	o i
ả	ả
vẹn	v ẹ n
khiếm	k h i ế m
khuyết	k h u y ế t
gắt	g ắ t
hứa	h ứ a
cạch	c ạ c h
dai	d a i
nhách	n h á c h
nghét	n g h é t
xén	x é n
tịnh	t ị n h
phụng	p h ụ n g
hủy	h ủ y
lượt	l ư ợ t
nhũ	n h ũ
lúa	l ú a
rút	r ú t
huế	h u ế
cự	c ự
khứu	k h ứ u
thốt	t h ố t
giận	g i ậ n
cãi	c ã i
rơm	r ơ m
ướp	ư ớ p
nướng	n ư ớ n g
hán	h á n
ti	t i
quạnh	q u ạ n h
lọ	l ọ
mọ	m ọ
hoắc	h o ắ c
rảnh	r ả n h
vạch	v ạ c h
chênh	c h ê n h
video	v i d e o
mỉm	m ỉ m
ngán	n g á n
dán	d á n
dì	d ì
nông	n ô n g
ân	â n
hất	h ấ t
the	t h e
vỡ	v ỡ
thục	t h ụ c
khôi	k h ô i
cỗ	c ỗ
bó	b ó
nhàng	n h à n g
sói	s ó i
xám	x á m
thỏ	t h ỏ
sành	s à n h
bảy	b ả y
vạn	v ạ n
nọ	n ọ
gót	g ó t
tôn	t ô n
lượn	l ư ợ n
liều	l i ề u
thược	t h ư ợ c
cụm	c ụ m
gioăng	g i o ă n g
tứ	t ứ
thà	t h à
dặm	d ặ m
hựu	h ự u
điệu	đ i ệ u
cữ	c ữ
ngượng	n g ư ợ n g
bận	b ậ n
béng	b é n g
tùng	t ù n g
phiến	p h i ế n
súng	s ú n g
đứt	đ ứ t
gẫy	g ẫ y
giàn	g i à n
trâm	t r â m
xấp	x ấ p
nạo	n ạ o
úy	ú y
dũng	d ũ n g
túc	t ú c
quấy	q u ấ y
ngủi	n g ủ i
lỡ	l ỡ
mắm	m ắ m
ao	a o
ngớ	n g ớ
ngất	n g ấ t
xỉu	x ỉ u
thỉu	t h ỉ u
kình	k ì n h
tuất	t u ấ t
rủi	r ủ i
ro	r o
lồi	l ồ i
tàng	t à n g
com	c o m
kho	k h o
úc	ú c
mộc	m ộ c
tràn	t r à n
nhớt	n h ớ t
ngắm	n g ắ m
nẫng	n ẫ n g
thấm	t h ấ m
thía	t h í a
giông	g i ô n g
nhó	n h ó
thun	t h u n
vứt	v ứ t
xoang	x o a n g
nhỡ	n h ỡ
sảy	s ả y
toi	t o i
mác	m á c
dám	d á m
khuê	k h u ê
nghìn	n g h ì n
thằng	t h ằ n g
cuội	c u ộ i
cương	c ư ơ n g
cạn	c ạ n
đê	đ ê
vườn	v ư ờ n
quạt	q u ạ t
suýt	s u ý t
trưa	t r ư a
sấu	s ấ u
dội	d ộ i
mường	m ư ờ n g
chà	c h à
hít	h í t
thiền	t h i ề n
yoga	y o g a
bỗng	b ỗ n g
chuyền	c h u y ề n
xui	x u i
xẻo	x ẻ o
ghềnh	g h ề n h
nếm	n ế m
lam	l a m
nhục	n h ụ c
mị	m ị
yếm	y ế m
dụm	d ụ m
súc	s ú c
đùm	đ ù m
hờn	h ờ n
kẽm	k ẽ m
tỵ	t ỵ
khoảnh	k h o ả n h
giáng	g i á n g
ước	ư ớ c
khoang	k h o a n g
chuộc	c h u ộ c
hoạ	h o ạ
ion	i o n
nức	n ứ c
gày	g à y
khoác	k h o á c
ngậm	n g ậ m
cưa	c ư a
trỗi	t r ỗ i
dậy	d ậ y
ám	á m
mầm	m ầ m
phai	p h a i
khăm	k h ă m
mìn	m ì n
phiếu	p h i ế u
vẳng	v ẳ n g
ức	ứ c
nhoáng	n h o á n g
giơ	g i ơ
tưới	t ư ớ i
rạng	r ạ n g
thuế	t h u ế
thiệp	t h i ệ p
bẻ	b ẻ
phồng	p h ồ n g
oa	o a
keo	k e o
núm	n ú m
khe	k h e
thốn	t h ố n
lự	l ự
phô	p h ô
bi	b i
nơ	n ơ
lệnh	l ệ n h
tành	t à n h
khát	k h á t
tựu	t ự u
bọng	b ọ n g
sưng	s ư n g
hộp	h ộ p
lẫm	l ẫ m
h	h
bắn	b ắ n
niêm	n i ê m
râm	r â m
tuệ	t u ệ
top	t o p
sưu	s ư u
xốp	x ố p
trán	t r á n
niu	n i u
đun	đ u n
rộn	r ộ n
giành	g i à n h
hoán	h o á n
sùng	s ù n g
bái	b á i
đò	đ ò
phà	p h à
phao	p h a o
rầm	r ầ m
hét	h é t
gào	g à o
gò	g ò
quế	q u ế
đậy	đ ậ y
gàng	g à n g
n	n
gao	g a o
mồng	m ồ n g
sùi	s ù i
mào	m à o
sỉ	s ỉ
lẻ	l ẻ
liêm	l i ê m
nhở	n h ở
co	c o
stress	s t r e s s
dồn	d ồ n
dập	d ậ p
đống	đ ố n g
mồm	m ồ m
tảng	t ả n g
xíu	x í u
ùn	ù n
nêu	n ê u
khấu	k h ấ u
đế	đ ế
mừng	m ừ n g
phẫn	p h ẫ n
loi	l o i
bắp	b ắ p
ngẩm	n g ẩ m
lắc	l ắ c
trịnh	t r ị n h
rà	r à
sẩy	s ẩ y
thét	t h é t
dãn	d ã n
nhốt	n h ố t
vía	v í a
pu	p u
va	v a
tri	t r i
tru	t r u
loãng	l o ã n g
canxi	c a n x i
chẽ	c h ẽ
hụt	h ụ t
mangan	m a n g a n
rình	r ì n h
mò	m ò
thờ	t h ờ
léo	l é o
m	m
robot	r o b o t
nao	n a o
bớt	b ớ t
bèo	b è o
muỗi	m u ỗ i
lăn	l ă n
nhúng	n h ú n g
vụn	v ụ n
hoang	h o a n g
nồi	n ồ i
đùi	đ ù i
bóc	b ó c
bòn	b ò n
bon	b o n
mủ	m ủ
quầng	q u ầ n g
bàng	b à n g
sạc	s ạ c
ốc	ố c
mĩ	m ĩ
rung	r u n g
vy	v y
chùm	c h ù m
me	m e
nghịch	n g h ị c h
ngợm	n g ợ m
giấm	g i ấ m
hóc	h ó c
phun	p h u n
ướt	ư ớ t
gán	g á n
cáng	c á n g
tang	t a n g
dõi	d õ i
lề	l ề
lưới	l ư ớ i
cắp	c ắ p
ngải	n g ả i
xắn	x ắ n
phận	p h ậ n
hễ	h ễ
địch	đ ị c h
nã	n ã
ngàng	n g à n g
nến	n ế n
mỏng	m ỏ n g
đờ	đ ờ
vãi	v ã i
lau	l a u
quắt	q u ắ t
thề	t h ề
ngớt	n g ớ t
chậu	c h ậ u
toà	t o à
láng	l á n g
giềng	g i ề n g
bẩm	b ẩ m
dọc	d ọ c
ơi	ơ i
gã	g ã
nhàm	n h à m
chó	c h ó
khay	k h a y
chìa	c h ì a
mãi	m ã i
khứ	k h ứ
pháo	p h á o
khoát	k h o á t
ngây	n g â y
trướng	t r ư ớ n g
nhì	n h ì
truy	t r u y
liễu	l i ễ u
dỗi	d ỗ i
cớ	c ớ
biếm	b i ế m
gặt	g ặ t
binh	b i n h
xiếc	x i ế c
trơ	t r ơ
bốc	b ố c
mù	m ù
mịt	m ị t
mảng	m ả n g
chừng	c h ừ n g
trôi	t r ô i
séc	s é c
âu	â u
chúa	c h ú a
ngói	n g ó i
chê	c h ê
xướng	x ư ớ n g
miều	m i ề u
đuôi	đ u ô i
mét	m é t
cậy	c ậ y
bít	b í t
nâu	n â u
tào	t à o
phớ	p h ớ
xào	x à o
bằm	b ằ m
loa	l o a
ngách	n g á c h
xộn	x ộ n
tem	t e m
krông	k r ô n g
thùng	t h ù n g
lênh	l ê n h
khênh	k h ê n h
phớt	p h ớ t
lãm	l ã m
nần	n ầ n
đoan	đ o a n
dông	d ô n g
thày	t h à y
bói	b ó i
sụ	s ụ
sụp	s ụ p
diêu	d i ê u
rập	r ậ p
giương	g i ư ơ n g
ngấn	n g ấ n
bẹt	b ẹ t
tíu	t í u
hở	h ở
xuồng	x u ồ n g
sót	s ó t
ưng	ư n g
quyệt	q u y ệ t
ok	o k
ư	ư
dua	d u a
hong	h o n g
ngoai	n g o a i
bào	b à o
mòn	m ò n
lố	l ố
bịch	b ị c h
thạo	t h ạ o
hơ	h ơ
hớ	h ớ
chốt	c h ố t
giây	g i â y
ngộ	n g ộ
ngặt	n g ặ t
nghèo	n g h è o
chồn	c h ồ n
ghẻ	g h ẻ
lũ	l ũ
mốc	m ố c
lửng	l ử n g
thửa	t h ử a
đ	đ
tách	t á c h
phôi	p h ô i
trót	t r ó t
kiếp	k i ế p
ế	ế
tằm	t ằ m
rả	r ả
thút	t h ú t
thít	t h í t
lính	l í n h
đắn	đ ắ n
đếm	đ ế m
xuể	x u ể
quát	q u á t
san	s a n
thòi	t h ò i
sửng	s ử n g
cưỡng	c ư ỡ n g
nhặt	n h ặ t
nhăng	n h ă n g
dưng	d ư n g
cồn	c ồ n
khoẻ	k h o ẻ
đày	đ à y
đọa	đ ọ a
lạt	l ạ t
ri	r i
sảng	s ả n g
giãi	g i ã i
b	b
nguôi	n g u ô i
khốc	k h ố c
vút	v ú t
lệch	l ệ c h
thắm	t h ắ m
nằng	n ằ n g
nặc	n ặ c
hê	h ê
trễ	t r ễ
khắt	k h ắ t
nguyện	n g u y ệ n
trẻo	t r ẻ o
sủa	s ủ a
uỷ	u ỷ
mớ	m ớ
trâu	t r â u
bơ	b ơ
vú	v ú
trốn	t r ố n
chần	c h ầ n
chừ	c h ừ
nhối	n h ố i
bùa	b ù a
mao	m a o
coi	c o i
sượng	s ư ợ n g
đặng	đ ặ n g
lường	l ư ờ n g
nản	n ả n
calo	c a l o
săm	s ă m
vét	v é t
mương	m ư ơ n g
bấn	b ấ n
hắc	h ắ c
mé	m é
năn	n ă n
nỉ	n ỉ
giỏ	g i ỏ
lì	l ì
lung	l u n g
que	q u e
chè	c h è
tho	t h o
qui	q u i
chay	c h a y
luộc	l u ộ c
ngao	n g a o
gạn	g ạ n
cặn	c ặ n
lặp	l ặ p
sởi	s ở i
vác	v á c
rựa	r ự a
nai	n a i
xoá	x o á
dâm	d â m
ranh	r a n h
sáp	s á p
thỏi	t h ỏ i
cóp	c ó p
ải	ả i
sen	s e n
đượm	đ ư ợ m
toát	t o á t
tý	t ý
gáp	g á p
nạc	n ạ c
cuộn	c u ộ n
cửu	c ử u
tơi	t ơ i
rộ	r ộ
đèo	đ è o
xòe	x ò e
nách	n á c h
trọt	t r ọ t
rệ	r ệ
suông	s u ô n g
nhặn	n h ặ n
ngựa	n g ự a
khải	k h ả i
đôn	đ ô n
nhá	n h á
lụt	l ụ t
thiếp	t h i ế p
hoan	h o a n
nom	n o m
k	k
bô	b ô
chập	c h ậ p
mũm	m ũ m
mĩm	m ĩ m
bụt	b ụ t
thiêu	t h i ê u
rụi	r ụ i
lều	l ề u
điêu	đ i ê u
toilet	t o i l e t
lữ	l ữ
sởn	s ở n
gai	g a i
ốp	ố p
lát	l á t
hoại	h o ạ i
gượng	g ư ợ n g
hấu	h ấ u
mark	m a r k
tua	t u a
rua	r u a
trác	t r á c
thúy	t h ú y
cài	c à i
nhơn	n h ơ n
lóc	l ó c
đấng	đ ấ n g
na	n a
ẩu	ẩ u
mếu	m ế u
mích	m í c h
riết	r i ế t
thắn	t h ắ n
chuột	c h u ộ t
sôi	s ô i
phế	p h ế
xá	x á
nhịn	n h ị n
nong	n o n g
mẩn	m ẩ n
nghiện	n g h i ệ n
sàm	s à m
thót	t h ó t
gián	g i á n
gas	g a s
tò	t ò
cáu	c á u
rùng	r ù n g
sấp	s ấ p
bọt	b ọ t
níu	n í u
bệt	b ệ t
vàm	v à m
phết	p h ế t
kít	k í t
thuỷ	t h u ỷ
teo	t e o
tóp	t ó p
quắp	q u ắ p
gác	g á c
mão	m ã o
bai	b a i
tậu	t ậ u
nhái	n h á i
no	n o
nấc	n ấ c
sưởi	s ư ở i
cs	c s
háng	h á n g
đợt	đ ợ t
vòi	v ò i
bar	b a r
bẩy	b ẩ y
dang	d a n g
kẹt	k ẹ t
khét	k h é t
lẹt	l ẹ t
tựa	t ự a
trắc	t r ắ c
test	t e s t
út	ú t
trù	t r ù
ấu	ấ u
hỉ	h ỉ
biếu	b i ế u
neo	n e o
kìm	k ì m
hãm	h ã m
tị	t ị
quãng	q u ã n g
rỗi	r ỗ i
chúc	c h ú c
vũng	v ũ n g
l	l
dê	d ê
giục	g i ụ c
gắm	g ắ m
tráng	t r á n g
